name,mib,depth,top_level,value_size,value_type,registered,resolve_error
debug.batman,"{5,156}",2,debug,4,int32,no,
debug.bpf_bufsize,"{5,120}",2,debug,4,int32,yes,
debug.bpf_bufsize_cap,"{5,117}",2,debug,4,int32,no,
debug.bpf_debug,"{5,114}",2,debug,4,int32,no,
debug.bpf_hdr_comp_enable,"{5,112}",2,debug,4,int32,no,
debug.bpf_maxbufsize,"{5,119}",2,debug,4,int32,yes,
debug.bpf_maxdevices,"{5,116}",2,debug,4,int32,no,
debug.bpf_trunc_overflow,"{5,113}",2,debug,8,int64,no,
debug.bpf_wantpktap,"{5,115}",2,debug,4,int32,no,
debug.didevice_bounce_count,"{5,133}",2,debug,4,int32,no,
debug.didevice_cache_fully_satisfied,"{5,135}",2,debug,4,int32,no,
debug.didevice_cache_size_default,"{5,141}",2,debug,8,int64,no,
debug.didevice_cache_spared_bytes,"{5,136}",2,debug,8,int64,no,
debug.didevice_enable_cache,"{5,142}",2,debug,4,int32,no,
debug.didevice_no_bounce_count,"{5,134}",2,debug,4,int32,no,
debug.didevice_queue_depth,"{5,140}",2,debug,4,int32,no,
debug.didevice_read_by_kernel_bytes,"{5,143}",2,debug,8,int64,no,
debug.didevice_thread_cache_reads,"{5,137}",2,debug,8,int64,no,
debug.didevice_thread_mapped_buf_unmaps,"{5,139}",2,debug,8,int64,no,
debug.didevice_thread_mapped_buf_writes,"{5,138}",2,debug,8,int64,no,
debug.didevice_trace,"{5,132}",2,debug,4,int32,no,
debug.didevice_write_by_kernel_bytes,"{5,144}",2,debug,8,int64,no,
debug.iogpu.dynamic_lwm,"{5,149,101}",3,debug,4,int32,no,
debug.iogpu.wired_limit,"{5,149,102}",3,debug,4,int32,no,
debug.iogpu.wired_lwm_mb,"{5,149,100}",3,debug,4,int32,no,
debug.iokit,"{5,103}",2,debug,8,int64,no,
debug.iosa.disable_pg_in_intr_filter,"{5,154,102}",3,debug,4,int32,no,
debug.iosa.idle_power_off_us,"{5,154,100}",3,debug,4,int32,no,
debug.iosa.mapper_cache_policy,"{5,154,104}",3,debug,4,int32,no,
debug.iosa.panic_if_irqsts_zero,"{5,154,103}",3,debug,4,int32,no,
debug.iosa.power_down_hyst_us,"{5,154,101}",3,debug,4,int32,no,
debug.iosa.simulated_model,"{5,154,105}",3,debug,4,int32,no,
debug.iosurface.iofence_ddd,"{5,153,100}",3,debug,4,int32,no,
debug.iotrace,"{5,102}",2,debug,8,int64,no,
debug.kextlog,"{5,118}",2,debug,4,int32,no,
debug.lowpri_throttle_enabled,"{5,121}",2,debug,4,int32,yes,
debug.lowpri_throttle_max_iosize,"{5,131}",2,debug,4,int32,no,
debug.lowpri_throttle_tier1_io_period_msecs,"{5,127}",2,debug,4,int32,no,
debug.lowpri_throttle_tier1_io_period_ssd_msecs,"{5,124}",2,debug,4,int32,no,
debug.lowpri_throttle_tier1_window_msecs,"{5,130}",2,debug,4,int32,no,
debug.lowpri_throttle_tier2_io_period_msecs,"{5,126}",2,debug,4,int32,no,
debug.lowpri_throttle_tier2_io_period_ssd_msecs,"{5,123}",2,debug,4,int32,no,
debug.lowpri_throttle_tier2_window_msecs,"{5,129}",2,debug,4,int32,no,
debug.lowpri_throttle_tier3_io_period_msecs,"{5,125}",2,debug,4,int32,no,
debug.lowpri_throttle_tier3_io_period_ssd_msecs,"{5,122}",2,debug,4,int32,no,
debug.lowpri_throttle_tier3_window_msecs,"{5,128}",2,debug,4,int32,no,
debug.mcc_clampwaycount,"{5,151}",2,debug,4,int32,no,
debug.mcc_debug,"{5,150}",2,debug,4,int32,no,
debug.noidle,"{5,106}",2,debug,4,int32,no,
debug.sched,"{5,101}",2,debug,4,int32,no,
debug.sched_hygiene_debug_available,"{5,105}",2,debug,4,int32,no,
debug.swd_panic,"{5,110}",2,debug,4,int32,no,
debug.swd_sleep_timeout,"{5,107}",2,debug,4,int32,no,
debug.swd_timeout,"{5,109}",2,debug,4,int32,no,
debug.swd_wake_timeout,"{5,108}",2,debug,4,int32,no,
debug.toggle_address_reuse,"{5,104}",2,debug,4,int32,no,
hw.activecpu,"{6,25}",2,hw,4,int32,yes,
hw.byteorder,"{6,4}",2,hw,4,int32,yes,
hw.cacheconfig,"{6,113}",2,hw,80,opaque(80),yes,
hw.cachelinesize,"{6,123}",2,hw,8,int64,yes,
hw.cachesize,"{6,114}",2,hw,80,opaque(80),yes,
hw.cpu64bit_capable,"{6,110}",2,hw,4,int32,yes,
hw.cpufamily,"{6,111}",2,hw,4,int32,yes,
hw.cpusubfamily,"{6,112}",2,hw,4,int32,yes,
hw.cpusubtype,"{6,109}",2,hw,4,int32,yes,
hw.cputype,"{6,108}",2,hw,4,int32,yes,
hw.ephemeral_storage,"{6,132}",2,hw,4,int32,no,
hw.features.allows_security_research,"{6,103,100}",3,hw,4,int32,no,
hw.l1dcachesize,"{6,125}",2,hw,8,int64,yes,
hw.l1icachesize,"{6,124}",2,hw,8,int64,yes,
hw.l2cachesize,"{6,126}",2,hw,8,int64,yes,
hw.logicalcpu,"{6,106}",2,hw,4,int32,yes,
hw.logicalcpu_max,"{6,107}",2,hw,4,int32,yes,
hw.memsize,"{6,24}",2,hw,8,int64,yes,
hw.memsize_usable,"{6,129}",2,hw,8,int64,yes,
hw.ncpu,"{6,3}",2,hw,4,int32,yes,
hw.nperflevels,"{6,136}",2,hw,4,int32,yes,
hw.optional.arm.AdvSIMD,"{6,102,100,141}",4,hw,4,int32,yes,
hw.optional.arm.AdvSIMD_HPFPCvt,"{6,102,100,142}",4,hw,4,int32,no,
hw.optional.arm.FEAT_AES,"{6,102,100,111}",4,hw,4,int32,yes,
hw.optional.arm.FEAT_AFP,"{6,102,100,136}",4,hw,4,int32,no,
hw.optional.arm.FEAT_BF16,"{6,102,100,128}",4,hw,4,int32,yes,
hw.optional.arm.FEAT_BTI,"{6,102,100,145}",4,hw,4,int32,yes,
hw.optional.arm.FEAT_CRC32,"{6,102,100,100}",4,hw,4,int32,yes,
hw.optional.arm.FEAT_CSSC,"{6,102,100,133}",4,hw,4,int32,no,
hw.optional.arm.FEAT_CSV2,"{6,102,100,138}",4,hw,4,int32,no,
hw.optional.arm.FEAT_CSV3,"{6,102,100,139}",4,hw,4,int32,no,
hw.optional.arm.FEAT_DIT,"{6,102,100,140}",4,hw,4,int32,no,
hw.optional.arm.FEAT_DPB,"{6,102,100,126}",4,hw,4,int32,no,
hw.optional.arm.FEAT_DPB2,"{6,102,100,127}",4,hw,4,int32,no,
hw.optional.arm.FEAT_DotProd,"{6,102,100,104}",4,hw,4,int32,yes,
hw.optional.arm.FEAT_EBF16,"{6,102,100,129}",4,hw,4,int32,no,
hw.optional.arm.FEAT_ECV,"{6,102,100,135}",4,hw,4,int32,no,
hw.optional.arm.FEAT_FCMA,"{6,102,100,120}",4,hw,4,int32,no,
hw.optional.arm.FEAT_FHM,"{6,102,100,103}",4,hw,4,int32,no,
hw.optional.arm.FEAT_FP16,"{6,102,100,143}",4,hw,4,int32,yes,
hw.optional.arm.FEAT_FPAC,"{6,102,100,124}",4,hw,4,int32,no,
hw.optional.arm.FEAT_FPACCOMBINE,"{6,102,100,125}",4,hw,4,int32,no,
hw.optional.arm.FEAT_FRINTTS,"{6,102,100,116}",4,hw,4,int32,no,
hw.optional.arm.FEAT_FlagM,"{6,102,100,101}",4,hw,4,int32,no,
hw.optional.arm.FEAT_FlagM2,"{6,102,100,102}",4,hw,4,int32,no,
hw.optional.arm.FEAT_HBC,"{6,102,100,134}",4,hw,4,int32,no,
hw.optional.arm.FEAT_I8MM,"{6,102,100,130}",4,hw,4,int32,yes,
hw.optional.arm.FEAT_JSCVT,"{6,102,100,121}",4,hw,4,int32,no,
hw.optional.arm.FEAT_LRCPC,"{6,102,100,118}",4,hw,4,int32,no,
hw.optional.arm.FEAT_LRCPC2,"{6,102,100,119}",4,hw,4,int32,no,
hw.optional.arm.FEAT_LSE,"{6,102,100,107}",4,hw,4,int32,yes,
hw.optional.arm.FEAT_LSE2,"{6,102,100,137}",4,hw,4,int32,yes,
hw.optional.arm.FEAT_PACIMP,"{6,102,100,117}",4,hw,4,int32,no,
hw.optional.arm.FEAT_PAuth,"{6,102,100,122}",4,hw,4,int32,yes,
